Score	Word		        Score	Count	Total			
5	inner							
5	inter							
5	irate							
5	iring							
5	naira							
5	niter							
5	nitre							
5	ragee							
5	ranee							
5	range							
5	rarer							
5	ratan							
5	rater							
5	reata							
5	regna							
5	reign							
5	renig							
5	renin							
5	rente							
5	reran							
5	rerig							
5	retag							
5	retia							
5	retie							
5	riant							
5	riata							
5	targe							
5	tarre							
5	tatar							
5	tater							
5	terai							
5	terga							
5	terne							
5	terra							
5	tetra							
5	tiara							
5	tiger							
5	titer							
5	titre							
5	tragi							
5	train							
5	trait							
5	treat							
5	treen							
5	trier							
5	trine							
5	trite							
1	agar							
1	ager							
1	airn							
1	airt							
1	area							
1	aria							
1	earn							
1	eger							
1	erne							
1	gear							
1	girn							
1	girt							
1	gnar							
1	gran							
1	grat							
1	gree							
1	grig							
1	grin							
1	grit							
1	near							
1	raga							
1	rage							
1	ragi							
1	raia							
1	rain							
1	rang							
1	rani							
1	rant							
1	rare							
1	rate							
1	rear							
1	rein							
1	rent							
1	rete							
1	ring							
1	rite							
1	tare							
1	tarn							
1	tart							
1	tear							
1	tern							
1	tier							
1	tire							
1	tree							
1	tret							
1	trig							
